dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr,gen_risk_ub,test_risk_ub,conf_risk,conf0_risk,non_det_rate_ub,gen_err_thr_ub,gen_err_ub,test_err_ub,test_err,conf_err,conf0_err
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0, 1, 20, 0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 11, 11, 0.011, 0.011, 0.01964228902418324, 0.011, 0.9, 1, 1, 0, 0.01964228902418324, 0.011, 0.011, 0.9, 1
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.001, 1, 20, 17, 1, 0, 0.01, 0.009996791463009136, 0.1, 0.5, 984, 0, 17, 0.0, 0.0, 0.029003021608639407, 0.017, 0.9, 0.95, 1.0, 0.01, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.002, 1, 20, 21, 1, 0, 0.01, 0.009992689100928986, 0.1, 0.5, 984, 0, 21, 0.0, 0.0, 0.03406872590188833, 0.021, 0.9, 0.95, 1.0, 0.01, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.003, 1, 20, 36, 1, 0, 0.01, 0.009997372524441883, 0.1, 0.5, 982, 0, 36, 0.0, 0.0, 0.05230468368266064, 0.036, 0.9, 0.95, 0.9752467439916521, 0.00975246743991652, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.005, 1, 20, 75, 1, 0, 0.01, 0.009996252110368475, 0.1, 0.5, 978, 0, 75, 0.0, 0.0, 0.09708587223659357, 0.075, 0.9, 0.95, 0.941575050029319, 0.00941575050029319, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.007, 1, 20, 140, 1, 0, 0.01, 0.00999366698650106, 0.1, 0.5, 971, 0, 140, 0.0, 0.0, 0.16827238680117323, 0.14, 0.9, 0.95, 0.8824294341657718, 0.008824294341657718, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.01, 1, 20, 295, 1, 0, 0.01, 0.00999589912177934, 0.1, 0.5, 951, 0, 295, 0.0, 0.0, 0.33106904053783337, 0.295, 0.9, 0.95, 0.7352868257436455, 0.007352868257436454, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.02, 1, 20, 869, 1, 0, 0.01, 0.009989223952492576, 0.1, 0.5, 784, 0, 869, 0.0, 0.0, 0.8936272492345751, 0.869, 0.9, 0.95, 0.1550151637454997, 0.001550151637454997, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.03, 1, 20, 983, 1, 0, 0.01, 0.009999574679828593, 0.1, 0.5, 580, 0, 983, 0.0, 0.0, 1.0, 0.983, 0.9, 0.95, 0.02730177851179718, 0.0002730177851179718, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.05, 1, 20, 996, 1, 0, 0.01, 0.009977412941485686, 0.1, 0.5, 437, 0, 996, 0.0, 0.0, 1.0, 0.996, 0.9, 0.95, 0.009916608053885131, 9.916608053885131e-05, N/A, N/A, N/A, N/A, N/A
