dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0,1,20,0,1,0,0.01,0.00999383145844357,0.1,0.5,986,11,11,0.011,0.011
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.001,1,20,17,1,0,0.01,0.009996791463009136,0.1,0.5,984,0,17,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.002,1,20,21,1,0,0.01,0.009992689100928986,0.1,0.5,984,0,21,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.003,1,20,36,1,0,0.01,0.009997372524441883,0.1,0.5,982,0,36,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.005,1,20,75,1,0,0.01,0.009996252110368475,0.1,0.5,978,0,75,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.007,1,20,140,1,0,0.01,0.00999366698650106,0.1,0.5,971,0,140,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.01,1,20,295,1,0,0.01,0.00999589912177934,0.1,0.5,951,0,295,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.02,1,20,869,1,0,0.01,0.009989223952492576,0.1,0.5,784,0,869,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.03,1,20,983,1,0,0.01,0.009999574679828593,0.1,0.5,580,0,983,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.05,1,20,996,1,0,0.01,0.009977412941485686,0.1,0.5,437,0,996,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.07,1,20,999,1,0,0.01,0.009969146792899286,0.1,0.5,299,0,999,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.1,1,20,999,1,0,0.01,0.009969146792899286,0.1,0.5,299,0,999,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.2,1,20,999,1,0,0.01,0.009969146792899286,0.1,0.5,299,0,999,0.0,0.0
mnist,1000,0,N/A,N/A,N/A,N/A,cnn_s,1,10,0,0.3,1,20,999,1,0,0.01,0.009969146792899286,0.1,0.5,299,0,999,0.0,0.0
