rnd_seed_measure,dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,batch_size_measure,model_dir,perturb_bn,perturb_params_size,perturb_ratio,perturb_sample_size,err_num_random,test_err_wst,test_err_avr
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,0,0,348,11,0.011,0.011
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.001,348,11,0.011,0.011
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.002,348,11,0.011,0.011
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.003,348,11,0.011,0.011
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.005,348,11,0.011,0.011
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.007,348,11,0.011,0.010985632183908045
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.01,348,11,0.011,0.01092816091954023
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.02,348,12,0.012,0.010787356321839081
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.03,348,12,0.012,0.010724137931034482
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.05,348,13,0.013,0.010761494252873564
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.07,348,15,0.015,0.010778735632183909
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.1,348,24,0.024,0.010870689655172414
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.2,348,50,0.05,0.011790229885057471
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.3,348,100,0.1,0.014617816091954023
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.5,348,293,0.293,0.025258620689655172
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,0.7,348,534,0.534,0.04489080459770115
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,1.0,348,977,0.977,0.1082212643678161
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,2.0,348,1000,1.0,0.4794913793103448
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,3.0,348,1000,1.0,0.7212528735632184
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,5.0,348,1000,1.0,0.8607787356321839
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,7.0,348,1000,1.0,0.8864252873563219
1,mnist,1000,0,N/A,N/A,N/A,N/A,1000,cnn_s,0,121930,10.0,348,1000,1.0,0.8914971264367816
